deployment,location_color_code,sample,size_fraction_mm,shark_teeth,subsample_frac,est_tot_teeth
1,blue,1-TR-BLUE-1,>2-3,0,1,0
1,blue,1-TR-BLUE-1,<2,0,4.43,0
1,blue,1-TR-BLUE-2,>2-3,0,1,0
1,blue,1-TR-BLUE-2,<2,0,4.19,0
1,pink,1-TR-PINK-1,>2-3,0,1,0
1,pink,1-TR-PINK-1,<2,1,4.39,4.39
1,pink,1-TR-PINK-2,>2-3,0,1,0
1,pink,1-TR-PINK-2,<2,1,5.1,5.1
1,yellow,1-TR-YELLOW-1,>2-3,0,1,0
1,yellow,1-TR-YELLOW-1,<2,0,3.73,0
1,yellow,1-TR-YELLOW-2,>2-3,1,1,1
1,yellow,1-TR-YELLOW-2,<2,0,4.57,0
2,blue,2-TR-BLUE-1,>2-3,1,1,1
2,blue,2-TR-BLUE-1,<2,0,4.52,0
2,blue,2-TR-BLUE-2,>2-3,0,1,0
2,blue,2-TR-BLUE-2,<2,0,4.36,0
2,pink,2-TR-PINK-1,>2-3,0,1,0
2,pink,2-TR-PINK-1,<2,1,3.76,3.76
2,pink,2-TR-PINK-2,>2-3,0,1,0
2,pink,2-TR-PINK-2,<2,1,5.16,5.16
2,yellow,2-TR-YELLOW-1,>2-3,1,1,1
2,yellow,2-TR-YELLOW-1,<2,0,4.1,0
2,yellow,2-TR-YELLOW-2,>2-3,1,1,1
2,yellow,2-TR-YELLOW-2,<2,3,4.98,14.94
3,.,3-TR-UNK-1,>2-3,1,1,1
3,.,3-TR-UNK-1,<2,2,5.48,10.96
3,.,3-TR-UNK-2,>2-3,0,1,0
3,.,3-TR-UNK-2,<2,0,3.93,0
3,yellow,3-TR-YELLOW-1,>2-3,0,1,0
3,yellow,3-TR-YELLOW-1,<2,2,4.79,9.58
3,yellow,3-TR-YELLOW-2,>2-3,4,1,4
3,yellow,3-TR-YELLOW-2,<2,1,4.44,4.44
4,blue,4-TR-BLUE-1,>2-3,2,1,2
4,blue,4-TR-BLUE-1,<2,0,4.46,0
4,blue,4-TR-BLUE-2,>2-3,0,1,0
4,blue,4-TR-BLUE-2,<2,1,3.73,3.73
4,pink,4-TR-PINK-1,>2-3,3,1,3
4,pink,4-TR-PINK-1,<2,2,4.11,8.22
4,pink,4-TR-PINK-2,>2-3,0,1,0
4,pink,4-TR-PINK-2,<2,0,4.72,0
4,yellow,4-TR-YELLOW-1,>2-3,1,1,1
4,yellow,4-TR-YELLOW-1,<2,0,3.83,0
4,yellow,4-TR-YELLOW-2,>2-3,0,1,0
4,yellow,4-TR-YELLOW-2,<2,1,4.07,4.07
5,blue,5-TR-BLUE-1,>2-3,0,1,0
5,blue,5-TR-BLUE-1,<2,0,4,0
5,blue,5-TR-BLUE-2,>2-3,2,1,2
5,blue,5-TR-BLUE-2,<2,0,5.98,0
5,pink,5-TR-PINK-1,>2-3,0,1,0
5,pink,5-TR-PINK-1,<2,1,5.47,5.47
5,pink,5-TR-PINK-2,>2-3,0,1,0
5,pink,5-TR-PINK-2,<2,0,4.22,0
5,yellow,5-TR-YELLOW-1,>2-3,1,1,1
5,yellow,5-TR-YELLOW-1,<2,1,4.26,4.26
5,yellow,5-TR-YELLOW-2,>2-3,0,1,0
5,yellow,5-TR-YELLOW-2,<2,1,4.25,4.25
6,blue,6-TR-BLUE-1,>2-3,0,1,0
6,blue,6-TR-BLUE-1,<2,0,4.09,0
6,blue,6-TR-BLUE-2,>2-3,0,1,0
6,blue,6-TR-BLUE-2,<2,3,3.93,11.79
6,pink,6-TR-PINK-1,>2-3,2,1,2
6,pink,6-TR-PINK-1,<2,0,3.61,0
6,pink,6-TR-PINK-2,>2-3,0,1,0
6,pink,6-TR-PINK-2,<2,0,4.21,0
6,yellow,6-TR-YELLOW-1,>2-3,1,1,1
6,yellow,6-TR-YELLOW-1,<2,5,4.27,21.35
6,yellow,6-TR-YELLOW-2,>2-3,0,1,0
6,yellow,6-TR-YELLOW-2,<2,1,3.7,3.7
